_id,date,oh_region,icu_current_covid,icu_current_covid_vented,hospitalizations,icu_crci_total,icu_crci_total_vented,icu_former_covid,icu_former_covid_vented
30361,2020-04-01T00:00:00,CENTRAL,46,34,115,0,0,0,0
30362,2020-04-02T00:00:00,CENTRAL,51,46,129,0,0,0,0
30363,2020-04-03T00:00:00,CENTRAL,58,52,148,0,0,0,0
30364,2020-04-04T00:00:00,CENTRAL,57,49,161,0,0,0,0
30365,2020-04-05T00:00:00,CENTRAL,62,49,154,0,0,0,0
30366,2020-04-06T00:00:00,CENTRAL,69,58,167,0,0,0,0
30367,2020-04-07T00:00:00,CENTRAL,67,55,167,0,0,0,0
30368,2020-04-08T00:00:00,CENTRAL,75,61,177,0,0,0,0
30369,2020-04-09T00:00:00,CENTRAL,69,57,182,0,0,0,0
30370,2020-04-10T00:00:00,CENTRAL,70,58,185,0,0,0,0
30371,2020-04-11T00:00:00,CENTRAL,73,52,189,0,0,0,0
30372,2020-04-12T00:00:00,CENTRAL,71,61,205,0,0,0,0
30373,2020-04-13T00:00:00,CENTRAL,68,54,216,0,0,0,0
30374,2020-04-14T00:00:00,CENTRAL,65,52,212,0,0,0,0
30375,2020-04-15T00:00:00,CENTRAL,63,46,213,0,0,0,0
30376,2020-04-16T00:00:00,CENTRAL,63,52,224,0,0,0,0
30377,2020-04-17T00:00:00,CENTRAL,65,52,231,0,0,0,0
30378,2020-04-18T00:00:00,CENTRAL,64,54,239,0,0,0,0
30379,2020-04-19T00:00:00,CENTRAL,62,52,244,0,0,0,0
30380,2020-04-20T00:00:00,CENTRAL,62,53,238,0,0,0,0
30381,2020-04-21T00:00:00,CENTRAL,61,50,241,0,0,0,0
30382,2020-04-22T00:00:00,CENTRAL,63,49,267,0,0,0,0
30383,2020-04-23T00:00:00,CENTRAL,65,52,272,0,0,0,0
30384,2020-04-24T00:00:00,CENTRAL,66,54,286,0,0,0,0
30385,2020-04-25T00:00:00,CENTRAL,67,51,284,0,0,0,0
30386,2020-04-26T00:00:00,CENTRAL,67,53,276,0,0,0,0
30387,2020-04-27T00:00:00,CENTRAL,65,47,275,0,0,0,0
30388,2020-04-28T00:00:00,CENTRAL,66,49,290,0,0,0,0
30389,2020-04-29T00:00:00,CENTRAL,67,48,299,0,0,0,0
30390,2020-04-30T00:00:00,CENTRAL,61,48,301,0,0,0,0
30391,2020-05-01T00:00:00,CENTRAL,59,40,303,62,48,3,8
30392,2020-05-02T00:00:00,CENTRAL,63,46,303,66,47,3,1
30393,2020-05-03T00:00:00,CENTRAL,63,50,305,66,52,3,2
30394,2020-05-04T00:00:00,CENTRAL,63,51,302,66,53,3,2
30395,2020-05-05T00:00:00,CENTRAL,59,47,303,64,51,5,4
30396,2020-05-06T00:00:00,CENTRAL,58,47,299,60,49,2,2
30397,2020-05-07T00:00:00,CENTRAL,57,45,305,59,47,2,2
30398,2020-05-08T00:00:00,CENTRAL,54,45,281,57,49,3,4
30399,2020-05-09T00:00:00,CENTRAL,52,42,289,55,45,3,3
30400,2020-05-10T00:00:00,CENTRAL,50,41,297,55,46,5,5
30401,2020-05-11T00:00:00,CENTRAL,51,39,304,55,41,4,2
30402,2020-05-12T00:00:00,CENTRAL,51,37,313,54,39,3,2
30403,2020-05-13T00:00:00,CENTRAL,51,36,311,53,38,2,2
30404,2020-05-14T00:00:00,CENTRAL,51,38,319,54,40,3,2
30405,2020-05-15T00:00:00,CENTRAL,52,40,304,55,42,3,2
30406,2020-05-16T00:00:00,CENTRAL,46,38,310,49,39,3,1
30407,2020-05-17T00:00:00,CENTRAL,46,37,308,50,39,4,2
30408,2020-05-18T00:00:00,CENTRAL,46,36,312,55,42,9,6
30409,2020-05-19T00:00:00,CENTRAL,45,33,311,55,40,10,7
30410,2020-05-20T00:00:00,CENTRAL,45,34,297,55,41,10,7
30411,2020-05-21T00:00:00,CENTRAL,44,34,283,55,42,11,8
30412,2020-05-22T00:00:00,CENTRAL,40,33,273,54,42,14,9
30413,2020-05-23T00:00:00,CENTRAL,42,30,277,57,44,15,14
30414,2020-05-24T00:00:00,CENTRAL,41,32,267,55,45,14,13
30415,2020-05-25T00:00:00,CENTRAL,43,34,272,57,46,14,12
30416,2020-05-26T00:00:00,CENTRAL,45,36,267,57,45,12,9
30417,2020-05-27T00:00:00,CENTRAL,45,32,266,57,42,12,10
30418,2020-05-28T00:00:00,CENTRAL,41,33,268,54,41,13,8
30419,2020-05-29T00:00:00,CENTRAL,41,30,253,53,41,12,11
30420,2020-05-30T00:00:00,CENTRAL,42,32,254,55,39,13,7
30421,2020-05-31T00:00:00,CENTRAL,43,33,266,53,39,10,6
30422,2020-06-01T00:00:00,CENTRAL,43,32,270,52,39,9,7
30423,2020-06-02T00:00:00,CENTRAL,43,35,268,51,42,8,7
30424,2020-06-03T00:00:00,CENTRAL,37,29,263,45,34,8,5
30425,2020-06-04T00:00:00,CENTRAL,38,30,243,46,36,8,6
30426,2020-06-05T00:00:00,CENTRAL,36,31,234,44,36,8,5
30427,2020-06-06T00:00:00,CENTRAL,36,30,223,42,36,6,6
30428,2020-06-07T00:00:00,CENTRAL,36,30,209,42,36,6,6
30429,2020-06-08T00:00:00,CENTRAL,36,29,211,42,34,6,5
30430,2020-06-09T00:00:00,CENTRAL,36,28,193,42,33,6,5
30431,2020-06-10T00:00:00,CENTRAL,38,28,178,44,33,6,5
30432,2020-06-11T00:00:00,CENTRAL,37,25,170,43,31,6,6
30433,2020-06-12T00:00:00,CENTRAL,37,14,162,43,28,6,14
30434,2020-06-13T00:00:00,CENTRAL,37,23,153,43,29,6,6
30435,2020-06-14T00:00:00,CENTRAL,33,16,150,40,23,7,7
30436,2020-06-15T00:00:00,CENTRAL,31,17,138,39,24,8,7
30437,2020-06-16T00:00:00,CENTRAL,26,15,133,34,22,8,7
30438,2020-06-17T00:00:00,CENTRAL,25,12,128,33,17,8,5
30439,2020-06-18T00:00:00,CENTRAL,22,15,126,30,18,8,3
30440,2020-06-19T00:00:00,CENTRAL,23,16,119,31,22,8,6
30441,2020-06-20T00:00:00,CENTRAL,24,18,113,33,23,9,5
30442,2020-06-21T00:00:00,CENTRAL,19,14,118,31,20,12,6
30443,2020-06-22T00:00:00,CENTRAL,20,15,111,32,20,12,5
30444,2020-06-23T00:00:00,CENTRAL,19,15,109,29,22,10,7
30445,2020-06-24T00:00:00,CENTRAL,17,16,105,27,22,10,6
30446,2020-06-25T00:00:00,CENTRAL,16,14,100,27,20,11,6
30447,2020-06-26T00:00:00,CENTRAL,15,13,93,25,19,10,6
30448,2020-06-27T00:00:00,CENTRAL,15,12,97,25,17,10,5
30449,2020-06-28T00:00:00,CENTRAL,15,12,90,25,17,10,5
30450,2020-06-29T00:00:00,CENTRAL,13,12,94,22,16,9,4
30451,2020-06-30T00:00:00,CENTRAL,15,12,49,20,16,5,4
30452,2020-07-01T00:00:00,CENTRAL,17,11,50,24,15,7,4
30453,2020-07-02T00:00:00,CENTRAL,17,11,47,24,15,7,4
30454,2020-07-03T00:00:00,CENTRAL,0,0,42,0,0,0,0
30455,2020-07-04T00:00:00,CENTRAL,17,9,41,23,10,6,1
30456,2020-07-05T00:00:00,CENTRAL,17,9,41,22,11,5,2
30457,2020-07-06T00:00:00,CENTRAL,16,11,39,21,13,5,2
30458,2020-07-07T00:00:00,CENTRAL,16,12,38,20,13,4,1
30459,2020-07-08T00:00:00,CENTRAL,15,11,35,19,12,4,1
30460,2020-07-09T00:00:00,CENTRAL,16,11,41,19,12,3,1
30461,2020-07-10T00:00:00,CENTRAL,13,9,33,17,11,4,2
30462,2020-07-11T00:00:00,CENTRAL,12,9,32,16,11,4,2
30463,2020-07-12T00:00:00,CENTRAL,10,8,31,13,9,3,1
30464,2020-07-13T00:00:00,CENTRAL,10,10,33,13,12,3,2
30465,2020-07-14T00:00:00,CENTRAL,11,11,33,13,13,2,2
30466,2020-07-15T00:00:00,CENTRAL,12,10,28,14,12,2,2
30467,2020-07-16T00:00:00,CENTRAL,12,11,26,15,13,3,2
30468,2020-07-17T00:00:00,CENTRAL,13,11,23,17,13,4,2
30469,2020-07-18T00:00:00,CENTRAL,13,10,24,16,12,3,2
30470,2020-07-19T00:00:00,CENTRAL,13,11,25,16,13,3,2
30471,2020-07-20T00:00:00,CENTRAL,13,10,29,16,12,3,2
30472,2020-07-21T00:00:00,CENTRAL,14,9,29,17,11,3,2
30473,2020-07-22T00:00:00,CENTRAL,14,8,22,17,9,3,1
30474,2020-07-23T00:00:00,CENTRAL,13,8,23,16,10,3,2
30475,2020-07-24T00:00:00,CENTRAL,13,8,21,16,10,3,2
30476,2020-07-25T00:00:00,CENTRAL,12,8,20,15,10,3,2
30477,2020-07-26T00:00:00,CENTRAL,14,7,22,17,9,3,2
30478,2020-07-27T00:00:00,CENTRAL,14,8,22,17,10,3,2
30479,2020-07-28T00:00:00,CENTRAL,11,7,20,14,9,3,2
30480,2020-07-29T00:00:00,CENTRAL,11,6,19,13,8,2,2
30481,2020-07-30T00:00:00,CENTRAL,10,6,18,13,9,3,3
30482,2020-07-31T00:00:00,CENTRAL,10,6,19,13,9,3,3
30483,2020-08-01T00:00:00,CENTRAL,10,7,24,15,11,5,4
30484,2020-08-02T00:00:00,CENTRAL,9,7,25,14,11,5,4
30485,2020-08-03T00:00:00,CENTRAL,9,7,24,13,11,4,4
30486,2020-08-04T00:00:00,CENTRAL,10,7,25,13,10,3,3
30487,2020-08-05T00:00:00,CENTRAL,10,6,19,14,10,4,4
30488,2020-08-06T00:00:00,CENTRAL,8,6,14,12,10,4,4
30489,2020-08-07T00:00:00,CENTRAL,7,7,23,11,11,4,4
30490,2020-08-08T00:00:00,CENTRAL,7,6,18,11,10,4,4
30491,2020-08-09T00:00:00,CENTRAL,8,7,20,12,11,4,4
30492,2020-08-10T00:00:00,CENTRAL,7,6,19,12,11,5,5
30493,2020-08-11T00:00:00,CENTRAL,7,6,16,12,11,5,5
30494,2020-08-12T00:00:00,CENTRAL,7,6,16,12,11,5,5
30495,2020-08-13T00:00:00,CENTRAL,6,5,13,11,10,5,5
30496,2020-08-14T00:00:00,CENTRAL,6,5,11,11,9,5,4
30497,2020-08-15T00:00:00,CENTRAL,6,5,7,11,10,5,5
30498,2020-08-16T00:00:00,CENTRAL,5,5,12,10,10,5,5
30499,2020-08-17T00:00:00,CENTRAL,5,5,12,10,10,5,5
30500,2020-08-18T00:00:00,CENTRAL,4,4,10,9,9,5,5
30501,2020-08-19T00:00:00,CENTRAL,4,3,12,9,6,5,3
30502,2020-08-20T00:00:00,CENTRAL,4,3,12,9,4,5,1
30503,2020-08-21T00:00:00,CENTRAL,4,3,13,9,4,5,1
30504,2020-08-22T00:00:00,CENTRAL,4,4,12,9,5,5,1
30505,2020-08-23T00:00:00,CENTRAL,4,4,14,9,5,5,1
30506,2020-08-24T00:00:00,CENTRAL,6,6,18,8,7,2,1
30507,2020-08-25T00:00:00,CENTRAL,8,6,21,10,7,2,1
30508,2020-08-26T00:00:00,CENTRAL,10,7,29,11,8,1,1
30509,2020-08-27T00:00:00,CENTRAL,10,8,22,12,10,2,2
30510,2020-08-28T00:00:00,CENTRAL,10,4,20,13,6,3,2
30511,2020-08-29T00:00:00,CENTRAL,11,7,18,14,10,3,3
30512,2020-08-30T00:00:00,CENTRAL,10,5,22,13,7,3,2
30513,2020-08-31T00:00:00,CENTRAL,11,6,19,13,7,2,1
30514,2020-09-01T00:00:00,CENTRAL,8,6,20,10,6,2,0
30515,2020-09-02T00:00:00,CENTRAL,7,6,27,9,7,2,1
30516,2020-09-03T00:00:00,CENTRAL,9,6,25,12,6,3,0
30517,2020-09-04T00:00:00,CENTRAL,10,6,26,12,7,2,1
30518,2020-09-05T00:00:00,CENTRAL,11,6,26,13,7,2,1
30519,2020-09-06T00:00:00,CENTRAL,13,6,26,15,6,2,0
30520,2020-09-07T00:00:00,CENTRAL,11,5,25,14,6,3,1
30521,2020-09-08T00:00:00,CENTRAL,8,5,23,12,6,4,1
30522,2020-09-09T00:00:00,CENTRAL,7,5,19,11,5,4,0
30523,2020-09-10T00:00:00,CENTRAL,7,5,20,10,6,3,1
30524,2020-09-11T00:00:00,CENTRAL,7,5,16,10,6,3,1
30525,2020-09-12T00:00:00,CENTRAL,7,6,19,10,7,3,1
30526,2020-09-13T00:00:00,CENTRAL,8,6,24,11,7,3,1
30527,2020-09-14T00:00:00,CENTRAL,9,5,22,12,6,3,1
30528,2020-09-15T00:00:00,CENTRAL,10,7,20,13,8,3,1
30529,2020-09-16T00:00:00,CENTRAL,11,7,24,14,7,3,0
30530,2020-09-17T00:00:00,CENTRAL,9,6,26,13,6,4,0
30531,2020-09-18T00:00:00,CENTRAL,9,6,27,12,6,3,0
30532,2020-09-19T00:00:00,CENTRAL,10,6,32,13,6,3,0
30533,2020-09-20T00:00:00,CENTRAL,10,7,36,13,7,3,0
30534,2020-09-21T00:00:00,CENTRAL,11,8,39,13,8,2,0
30535,2020-09-22T00:00:00,CENTRAL,10,6,38,12,6,2,0
30536,2020-09-23T00:00:00,CENTRAL,11,6,38,13,6,2,0
30537,2020-09-24T00:00:00,CENTRAL,11,6,34,13,6,2,0
30538,2020-09-25T00:00:00,CENTRAL,13,8,36,15,8,2,0
30539,2020-09-26T00:00:00,CENTRAL,13,8,38,15,8,2,0
30540,2020-09-27T00:00:00,CENTRAL,14,9,40,16,9,2,0
30541,2020-09-28T00:00:00,CENTRAL,13,9,38,13,9,0,0
30542,2020-09-29T00:00:00,CENTRAL,13,9,35,13,9,0,0
30543,2020-09-30T00:00:00,CENTRAL,13,9,37,13,9,0,0
30544,2020-10-01T00:00:00,CENTRAL,12,9,36,12,9,0,0
30545,2020-10-02T00:00:00,CENTRAL,12,10,32,12,10,0,0
30546,2020-10-03T00:00:00,CENTRAL,13,10,36,13,10,0,0
30547,2020-10-04T00:00:00,CENTRAL,14,10,43,14,10,0,0
30548,2020-10-05T00:00:00,CENTRAL,13,10,42,13,10,0,0
30549,2020-10-06T00:00:00,CENTRAL,11,9,46,11,9,0,0
30550,2020-10-07T00:00:00,CENTRAL,12,10,51,13,11,1,1
30551,2020-10-08T00:00:00,CENTRAL,13,10,51,14,11,1,1
30552,2020-10-09T00:00:00,CENTRAL,14,9,57,15,10,1,1
30553,2020-10-10T00:00:00,CENTRAL,14,9,47,15,10,1,1
30554,2020-10-11T00:00:00,CENTRAL,14,8,54,15,9,1,1
30555,2020-10-12T00:00:00,CENTRAL,16,9,59,17,10,1,1
30556,2020-10-13T00:00:00,CENTRAL,19,10,72,20,11,1,1
30557,2020-10-14T00:00:00,CENTRAL,18,8,70,19,9,1,1
30558,2020-10-15T00:00:00,CENTRAL,21,9,78,22,9,1,0
30559,2020-10-16T00:00:00,CENTRAL,18,10,73,19,10,1,0
30560,2020-10-17T00:00:00,CENTRAL,16,10,78,17,10,1,0
30561,2020-10-18T00:00:00,CENTRAL,15,8,80,16,8,1,0
30562,2020-10-19T00:00:00,CENTRAL,17,11,75,17,11,0,0
30563,2020-10-20T00:00:00,CENTRAL,16,13,73,16,13,0,0
30564,2020-10-21T00:00:00,CENTRAL,16,14,75,17,14,1,0
30565,2020-10-22T00:00:00,CENTRAL,16,13,85,17,14,1,1
30566,2020-10-23T00:00:00,CENTRAL,18,14,86,19,15,1,1
30567,2020-10-24T00:00:00,CENTRAL,18,14,97,19,15,1,1
30568,2020-10-25T00:00:00,CENTRAL,18,13,96,19,14,1,1
30569,2020-10-26T00:00:00,CENTRAL,16,12,94,17,13,1,1
30570,2020-10-27T00:00:00,CENTRAL,15,13,89,16,14,1,1
30571,2020-10-28T00:00:00,CENTRAL,17,13,83,18,14,1,1
30572,2020-10-29T00:00:00,CENTRAL,20,15,87,20,15,0,0
30573,2020-10-30T00:00:00,CENTRAL,21,17,88,21,17,0,0
30574,2020-10-31T00:00:00,CENTRAL,22,15,96,22,15,0,0
30575,2020-11-01T00:00:00,CENTRAL,22,14,96,22,14,0,0
30576,2020-11-02T00:00:00,CENTRAL,19,14,110,19,14,0,0
30577,2020-11-03T00:00:00,CENTRAL,21,13,115,21,13,0,0
30578,2020-11-04T00:00:00,CENTRAL,28,13,104,28,13,0,0
30579,2020-11-05T00:00:00,CENTRAL,27,15,120,27,15,0,0
30580,2020-11-06T00:00:00,CENTRAL,28,15,112,28,15,0,0
30581,2020-11-07T00:00:00,CENTRAL,26,15,119,26,15,0,0
30582,2020-11-08T00:00:00,CENTRAL,24,16,129,24,16,0,0
30583,2020-11-09T00:00:00,CENTRAL,25,15,134,25,15,0,0
30584,2020-11-10T00:00:00,CENTRAL,25,13,146,25,13,0,0
30585,2020-11-11T00:00:00,CENTRAL,28,17,159,29,17,1,0
30586,2020-11-12T00:00:00,CENTRAL,32,18,173,32,18,0,0
30587,2020-11-13T00:00:00,CENTRAL,29,16,166,29,16,0,0
30588,2020-11-14T00:00:00,CENTRAL,33,20,171,33,20,0,0
30589,2020-11-15T00:00:00,CENTRAL,36,18,182,36,18,0,0
30590,2020-11-16T00:00:00,CENTRAL,36,19,185,36,19,0,0
30591,2020-11-17T00:00:00,CENTRAL,37,20,183,37,20,0,0
30592,2020-11-18T00:00:00,CENTRAL,43,20,194,43,20,0,0
30593,2020-11-19T00:00:00,CENTRAL,44,22,191,44,22,0,0
30594,2020-11-20T00:00:00,CENTRAL,43,21,192,43,21,0,0
30595,2020-11-21T00:00:00,CENTRAL,45,22,204,45,22,0,0
30596,2020-11-22T00:00:00,CENTRAL,45,29,205,45,29,0,0
30597,2020-11-23T00:00:00,CENTRAL,50,29,198,50,29,0,0
30598,2020-11-24T00:00:00,CENTRAL,51,35,204,51,35,0,0
30599,2020-11-25T00:00:00,CENTRAL,49,35,203,49,35,0,0
30600,2020-11-26T00:00:00,CENTRAL,51,33,214,51,33,0,0
30601,2020-11-27T00:00:00,CENTRAL,53,35,201,53,35,0,0
30602,2020-11-28T00:00:00,CENTRAL,53,29,202,55,29,2,0
30603,2020-11-29T00:00:00,CENTRAL,56,37,206,58,37,2,0
30604,2020-11-30T00:00:00,CENTRAL,61,41,210,62,41,1,0
30605,2020-12-01T00:00:00,CENTRAL,59,34,213,60,34,1,0
30606,2020-12-02T00:00:00,CENTRAL,66,40,218,67,40,1,0
30607,2020-12-03T00:00:00,CENTRAL,64,40,218,65,40,1,0
30608,2020-12-04T00:00:00,CENTRAL,65,38,229,66,39,1,1
30609,2020-12-05T00:00:00,CENTRAL,63,37,245,64,37,1,0
30610,2020-12-06T00:00:00,CENTRAL,66,39,249,67,39,1,0
30611,2020-12-07T00:00:00,CENTRAL,64,39,258,66,40,2,1
30612,2020-12-08T00:00:00,CENTRAL,64,35,260,66,36,2,1
30613,2020-12-09T00:00:00,CENTRAL,69,40,258,73,43,4,3
30614,2020-12-10T00:00:00,CENTRAL,69,40,256,74,43,5,3
30615,2020-12-11T00:00:00,CENTRAL,68,42,249,73,45,5,3
30616,2020-12-12T00:00:00,CENTRAL,74,41,271,81,44,7,3
30617,2020-12-13T00:00:00,CENTRAL,71,41,297,78,45,7,4
30618,2020-12-14T00:00:00,CENTRAL,78,46,300,84,51,6,5
30619,2020-12-15T00:00:00,CENTRAL,76,49,292,82,52,6,3
30620,2020-12-16T00:00:00,CENTRAL,77,50,269,82,53,5,3
30621,2020-12-17T00:00:00,CENTRAL,77,47,274,82,50,5,3
30622,2020-12-18T00:00:00,CENTRAL,74,43,278,78,45,4,2
30623,2020-12-19T00:00:00,CENTRAL,79,46,285,83,48,4,2
30624,2020-12-20T00:00:00,CENTRAL,78,44,320,83,47,5,3
30625,2020-12-21T00:00:00,CENTRAL,79,43,321,82,44,3,1
30626,2020-12-22T00:00:00,CENTRAL,79,52,323,83,55,4,3
30627,2020-12-23T00:00:00,CENTRAL,79,46,333,84,49,5,3
30628,2020-12-24T00:00:00,CENTRAL,80,44,301,84,46,4,2
30629,2020-12-25T00:00:00,CENTRAL,84,60,344,88,62,4,2
30630,2020-12-26T00:00:00,CENTRAL,86,62,365,89,64,3,2
30631,2020-12-27T00:00:00,CENTRAL,89,70,367,94,74,5,4
30632,2020-12-28T00:00:00,CENTRAL,89,66,384,95,69,6,3
30633,2020-12-29T00:00:00,CENTRAL,91,66,381,97,68,6,2
30634,2020-12-30T00:00:00,CENTRAL,92,59,396,97,62,5,3
30635,2020-12-31T00:00:00,CENTRAL,93,65,390,99,68,6,3
30636,2021-01-01T00:00:00,CENTRAL,88,61,412,94,65,6,4
30637,2021-01-02T00:00:00,CENTRAL,90,65,410,96,69,6,4
